expression_key,lang_key,expression,lang,paraphrase_candidates_maggie,wordnet_synonyms,wordnet_synonym1,paraphrase1_gpt55pro20260423,paraphrase1_gpt5nano20250807
strike a chord,eng,strike a chord,eng,hit home|strike home|strike a note|touch a chord|resonate,hit home|strike home|strike a note|touch a chord,hit home,resonate,resonate
strike while the iron is hot,eng,strike while the iron is hot,eng,capitalize|seize,,,capitalize,seize
subway system,eng,subway system,eng,metro|tube|underground|subway,metro|tube|underground|subway,metro,metro,metro
sucre roux,fr,sucre roux,fr,cassonade|sucre,,,cassonade,sucre
sugar daddy,eng,sugar daddy,eng,benefactor|patron,,,benefactor,patron
swan song,eng,swan song,eng,last hurrah|farewell|finale,last hurrah,last hurrah,farewell,finale
sweetness and light,eng,sweetness and light,eng,amiability|gentleness,,,amiability,gentleness
swimming pool,eng,swimming pool,eng,swimming bath|natatorium|pool,swimming bath|natatorium,swimming bath,pool,pool
swings and roundabouts,eng,swings and roundabouts,eng,tradeoffs|balance,,,tradeoffs,balance
sécurité routier,fr,sécurité routier,fr,prévention|sécurité,,,prévention,sécurité
sécurité social,fr,sécurité social,fr,sécu|assurance,,,sécu,assurance
sétima arte,pt,sétima arte,pt,cinema,,,cinema,cinema
sétimo arte,pt,sétimo arte,pt,cinema,,,cinema,cinema
table bas,fr,table bas,fr,guéridon|table,,,guéridon,table
table rond,fr,table rond,fr,débat|forum,,,débat,forum
take a back seat,eng,take a back seat,eng,yield|withdraw,,,yield,withdraw
take a bath,eng,take a bath,eng,bathe,,,bathe,bathe
take a dive,eng,take a dive,eng,lose,,,lose,lose
take a hike,eng,take a hike,eng,scram,,,scram,scram
take no prisoners,eng,take no prisoners,eng,ruthless,,,ruthless,ruthless
take the bull by the horns,eng,take the bull by the horns,eng,confront|tackle,,,confront,tackle
take the cake,eng,take the cake,eng,surpass|ridiculous,,,surpass,ridiculous
take the fall,eng,take the fall,eng,scapegoat|blame,,,scapegoat,blame
tapete vermelho,pt,tapete vermelho,pt,honraria|privilegio,,,honraria,privilegio
tapis rouge,fr,tapis rouge,fr,honneurs|faveur,,,honneurs,faveur
tartaruga marinho,pt,tartaruga marinho,pt,tartaruga,,,tartaruga,tartaruga
tartaruga-marinha,pt,tartaruga-marinha,pt,Cheloniidae|Tartarugas marinhas|tartaruga,Cheloniidae|Tartarugas marinhas,Cheloniidae,tartaruga,tartaruga
tear gas,eng,tear gas,eng,teargas|lacrimator|lachrymator|irritant,teargas|lacrimator|lachrymator,teargas,lachrymator,irritant
tela plana,pt,tela plana,pt,monitor,,,monitor,monitor
tela plano,pt,tela plano,pt,monitor,,,monitor,monitor
tempo parcial,gl,tempo parcial,gl,parcial,,,parcial,parcial
tempo real,pt,tempo real,pt,instantâneo|imediato,,,instantâneo,imediato
tempos escuros,gl,tempos escuros,gl,adversidade|crise,,,adversidade,crise
temps fort,fr,temps fort,fr,apogée,,,apogée,apogée
temps mort,fr,temps mort,fr,arrêt de jeu|pause,arrêt de jeu,arrêt de jeu,pause,pause
temps partiel,fr,temps partiel,fr,partiel,,,partiel,partiel
temps plein,fr,temps plein,fr,complet|pleintemps,,,complet,pleintemps
temps réel,fr,temps réel,fr,instantané|immédiat,,,instantané,immédiat
tennis elbow,eng,tennis elbow,eng,lateral epicondylitis|lateral humeral epicondylitis|epicondylitis,lateral epicondylitis|lateral humeral epicondylitis,lateral epicondylitis,epicondylitis,epicondylitis
terceira idade,pt,terceira idade,pt,adulto|de maior|velhice|idosos,adulto|de maior,adulto,velhice,idosos
terceira pessoa,pt,terceira pessoa,pt,terceiro|narrador,,,terceiro,narrador
terceiro idade,pt,terceiro idade,pt,velhice|idosos,,,velhice,idosos
terceiro pessoa,pt,terceiro pessoa,pt,outrem|narrador,,,outrem,narrador
the ball is in someone's court,eng,the ball is in someone's court,eng,responsibility|turn,,,responsibility,turn
the bee's knees,eng,the bee's knees,eng,excellent,,,excellent,excellent
the buck stops here,eng,the buck stops here,eng,accountability|responsibility,,,accountability,responsibility
the icing on the cake,eng,the icing on the cake,eng,bonus,,,bonus,bonus
things that go bump in the night,eng,things that go bump in the night,eng,ghosts|monsters,,,ghosts,monsters
think tank,eng,think tank,eng,think factory|braintrust,think factory,think factory,braintrust,braintrust
throw down the gauntlet,eng,throw down the gauntlet,eng,challenge,,,challenge,challenge
throw the baby out with the bathwater,eng,throw the baby out with the bathwater,eng,overreact|overreaction,,,overreact,overreaction
throw the book at,eng,throw the book at,eng,punish,,,punish,punish
tie the knot,eng,tie the knot,eng,marry,,,marry,marry
time difference,eng,time difference,eng,interval,,,interval,interval
tip the scales,eng,tip the scales,eng,sway,,,sway,sway
tiro livre,pt,tiro livre,pt,livre|remate,,,livre,remate
to die for,eng,to die for,eng,irresistible,,,irresistible,irresistible
to the bone,eng,to the bone,eng,completely|utterly,,,completely,utterly
to the hilt,eng,to the hilt,eng,to the limit|completely,to the limit,to the limit,completely,completely
to the tune of,eng,to the tune of,eng,amounting|approximately,,,amounting,approximately
toe the line,eng,toe the line,eng,conform,,,conform,conform
top dog,eng,top dog,eng,head|chief|leader,head|chief,head,leader,leader
touch and go,eng,touch and go,eng,precarious,,,precarious,precarious
trabalho braçal,pt,trabalho braçal,pt,labuta,,,labuta,labuta
trabalho escravo,pt,trabalho escravo,pt,escravidão,,,escravidão,escravidão
traffic control,eng,traffic control,eng,regulation,,,regulation,regulation
traffic jam,eng,traffic jam,eng,snarl-up|congestion,snarl-up,snarl-up,congestion,congestion
travail public,fr,travail public,fr,ouvrage|infrastructure,,,ouvrage,infrastructure
travel guide,eng,travel guide,eng,guidebook,,,guidebook,guidebook
trou noir,fr,trou noir,fr,amnésie|abîme,,,amnésie,abîme
trou normand,fr,trou normand,fr,digestif|nettoyage,,,digestif,nettoyage
turn over a new leaf,eng,turn over a new leaf,eng,reform,,,reform,reform
turn the other cheek,eng,turn the other cheek,eng,forgive|forbearance,,,forgive,forbearance
turn the screw,eng,turn the screw,eng,pressure,,,pressure,pressure
turn the tables,eng,turn the tables,eng,turn the tide|reverse|reversal,turn the tide,turn the tide,reverse,reversal
twist someone's arm,eng,twist someone's arm,eng,coerce|persuade,,,coerce,persuade
téléphone arabe,fr,téléphone arabe,fr,rumeur,,,rumeur,rumeur
téléphone portable,fr,téléphone portable,fr,G|GSM|cellulaire|cellule|mobile|natel|portable|téléphone cellulaire|téléphone mobile,G|GSM|cellulaire|cellule|mobile|natel|portable|téléphone cellulaire|téléphone mobile,G,portable,cellulaire
under a cloud,eng,under a cloud,eng,suspected|suspicion,,,suspected,suspicion
under the microscope,eng,under the microscope,eng,scrutinized,,,scrutinized,scrutinized
under the sun,eng,under the sun,eng,anywhere|everything,,,anywhere,everything
under the table,eng,under the table,eng,secretly|illicitly,,,secretly,illicitly
under the weather,eng,under the weather,eng,ailing|indisposed|peaked|poorly|sickly|unwell|seedy|ill,ailing|indisposed|peaked|poorly|sickly|unwell|seedy,ailing,unwell,ill
under the wire,eng,under the wire,eng,barely|narrowly,,,barely,narrowly
up a tree,eng,up a tree,eng,stuck|predicament,,,stuck,predicament
up in the air,eng,up in the air,eng,uncertain,,,uncertain,uncertain
up the ante,eng,up the ante,eng,escalate,,,escalate,escalate
up the river,eng,up the river,eng,imprisoned|trouble,,,imprisoned,trouble
up to here,eng,up to here,eng,exasperated|hitherto,,,exasperated,hitherto
up to speed,eng,up to speed,eng,informed,,,informed,informed
vaca louca,pt,vaca louca,pt,encefalopatia|doença,,,encefalopatia,doença
vaca louco,pt,vaca louco,pt,encefalopatia|doença,,,encefalopatia,doença
valeur sûr,fr,valeur sûr,fr,fiable,,,fiable,fiable
venres negro,gl,venres negro,gl,rebaixas|descontos,,,rebaixas,descontos
vida laboral,gl,vida laboral,gl,carreira,,,carreira,carreira
vida real,gl,vida real,gl,realidade,,,realidade,realidade
video game,eng,video game,eng,computer game|videogame|game,computer game,computer game,videogame,game
vie associatif,fr,vie associatif,fr,associations|bénévolat,,,associations,bénévolat
vie quotidien,fr,vie quotidien,fr,quotidien,,,quotidien,quotidien
vieux fille,fr,vieux fille,fr,solteronne|célibataire,,,solteronne,célibataire
vin blanc,fr,vin blanc,fr,blanc|vin,,,blanc,vin
vin rouge,fr,vin rouge,fr,rouge|vin,,,rouge,vin
vinho branco,pt,vinho branco,pt,branco|vinho,,,branco,vinho
vinho tinto,pt,vinho tinto,pt,tinto,,,tinto,tinto
vista grossa,pt,vista grossa,pt,conivência|ignorar,,,conivência,ignorar
vista grosso,pt,vista grosso,pt,ignorar|aproximadamente,,,ignorar,aproximadamente
viva voz,pt,viva voz,pt,oralmente|oral,,,oralmente,oral
vivenda libre,gl,vivenda libre,gl,privada|vacante,,,privada,vacante
vivo voz,pt,vivo voz,pt,altifalante|oral,,,altifalante,oral
voto secreto,pt,voto secreto,pt,escrutínio|sigilo,,,escrutínio,sigilo
vôo doméstico,pt,vôo doméstico,pt,nacional,,,nacional,nacional
vôo internacional,pt,vôo internacional,pt,voo|viagem,,,voo,viagem
wake up and smell the coffee,eng,wake up and smell the coffee,eng,realize|realization,,,realize,realization
walk all over,eng,walk all over,eng,dominate|exploit,,,dominate,exploit
walk the plank,eng,walk the plank,eng,drown|execution,,,drown,execution
watch this space,eng,watch this space,eng,anticipate|updates,,,anticipate,updates
water under the bridge,eng,water under the bridge,eng,bygone|bygones|past,bygone,bygone,bygones,past
web site,eng,web site,eng,website|internet site|site,website|internet site|site,website,website,website
wedding anniversary,eng,wedding anniversary,eng,anniversary,,,anniversary,anniversary
wedding day,eng,wedding day,eng,wedding|nuptials,,,wedding,nuptials
wet behind the ears,eng,wet behind the ears,eng,inexperienced,,,inexperienced,inexperienced
wet blanket,eng,wet blanket,eng,spoilsport|killjoy|party pooper,spoilsport|killjoy|party pooper,spoilsport,killjoy,killjoy
when the chips are down,eng,when the chips are down,eng,crisis,,,crisis,crisis
white noise,eng,white noise,eng,static,,,static,static
white spirit,eng,white spirit,eng,solvent,,,solvent,solvent
winter solstice,eng,winter solstice,eng,midwinter,,,midwinter,midwinter
wipe the slate clean,eng,wipe the slate clean,eng,reset|restart,,,reset,restart
with a vengeance,eng,with a vengeance,eng,intensely|fiercely,,,intensely,fiercely
with a view to,eng,with a view to,eng,intending,,,intending,intending
with open arms,eng,with open arms,eng,warmly|welcoming,,,warmly,welcoming
word painting,eng,word painting,eng,madrigalism|imagery,,,madrigalism,imagery
world conference,eng,world conference,eng,summit,,,summit,summit
xente nova,gl,xente nova,gl,mocidade|xuventude,,,mocidade,xuventude
zebra crossing,eng,zebra crossing,eng,pedestrian crossing|crosswalk,pedestrian crossing,pedestrian crossing,crosswalk,crosswalk
água doce,pt,água doce,pt,dulcícola|potável,,,dulcícola,potável
água mineral,pt,água mineral,pt,água carbonatada|água com gás|água gaseificada|águas minerais|água|hidromineral,água carbonatada|água com gás|água gaseificada|águas minerais,água carbonatada,água,hidromineral
école primaire,fr,école primaire,fr,lycée|école élémentaire|primaire|école,lycée|école élémentaire,lycée,primaire,école
étoile filant,fr,étoile filant,fr,météore,,,météore,météore
órgano central,gl,órgano central,gl,cerebro|autoridade,,,cerebro,autoridade
ônibus executivo,pt,ônibus executivo,pt,frescão|luxo,,,frescão,luxo
